user_id,current_role,years_experience,industry,skills,education_level,next_role,skills_to_learn,current_salary_LPA,predicted_salary_LPA
U8811,Software Developer / Engineer,10,Education,"Java, Git",Bachelors,API Developer,"Java, Kubernetes, Linux, Node.js, Security",17.0,20.95
U7615,Software Developer / Engineer,11,Telecom,"Python, Git, Java, SQL",Masters,DevOps Engineer,"Cloud, Docker, Go, Java, Kubernetes, Python, React",59.0,73.75
U5272,Software Developer / Engineer,11,Healthcare,"Java, Python, OOP",Masters,Software Architect,"C++, Java, Kubernetes, Linux, Machine Learning, Microservices, System Design, Testing",18.7,21.83
U6180,Software Developer / Engineer,11,Education,"SQL, Git",Bachelors,Software Architect,"C++, Data Structures, Java, Kubernetes, Linux, Microservices, Security, System Design",26.5,30.01
U3170,Software Developer / Engineer,8,Education,"Python, SQL",Bachelors,Site Reliability Engineer (SRE),"Cloud, Docker, Machine Learning, React, Testing",45.2,52.64
U5905,Software Developer / Engineer,13,Automotive,"SQL, Git, OOP",Bachelors,Cloud Developer (AWS/GCP/Azure),"Cloud, Data Structures, DevOps, Docker, Machine Learning",20.7,23.53
U4335,Software Developer / Engineer,5,Telecom,"Python, Git",Bachelors,Site Reliability Engineer (SRE),"Java, Kubernetes, Python, SQL, Security",13.4,16.67
U6464,Software Developer / Engineer,9,Finance,"Java, Python, Git",Bachelors,API Developer,"Cloud, Docker, Linux, Node.js, React",55.1,67.64
U3442,Software Developer / Engineer,0,Technology,"SQL, Java",PhD,Mobile App Developer (Android/iOS),"Data Visualization, Excel, Java, Kotlin, Python, SQL, Swift",3.15,3.92
U6974,Software Developer / Engineer,6,Healthcare,"Git, OOP, Python",Bachelors,Software Architect,"C++, Java, Kubernetes, Microservices, Node.js, SQL, System Design, Testing",16.8,21.0
U4878,Software Developer / Engineer,11,Automotive,"OOP, Python, SQL",Bachelors,"Front-End Developer (React, Angular, etc.)","Data Structures, DevOps, Docker, Kubernetes, Security",31.7,37.0
U3608,Software Developer / Engineer,7,Technology,"Java, Git, OOP",Bachelors,DevOps Engineer,"Cloud, DevOps, Docker, Go, Kubernetes, React, SQL, Security",16.0,20.0
U4728,Software Developer / Engineer,5,Finance,OOP,Masters,Software Architect,"C++, Cloud, DevOps, Java, Microservices, Node.js, React, System Design",20.7,24.01
U9346,Software Developer / Engineer,10,Education,"OOP, Git, Java",Bachelors,Embedded Software Engineer,"C, C++, Java, Node.js, RTOS, React, SQL, Security",16.1,20.12
U8119,Software Developer / Engineer,2,Automotive,"Python, SQL, Git",Bachelors,Mobile App Developer (Android/iOS),"Data Structures, Java, Kotlin, Kubernetes, Node.js, Security, Swift, Testing",26.6,30.89
U1727,Software Developer / Engineer,8,Finance,"Python, OOP, SQL",PhD,API Developer,"Data Structures, Kubernetes, Machine Learning, Security, Testing",39.0,48.46
U3041,Software Developer / Engineer,11,Healthcare,"OOP, Java",Bachelors,Game Developer,"Cloud, Docker, Kubernetes, Node.js, React",48.0,57.2
U4143,Software Developer / Engineer,6,Technology,Git,Bachelors,DevOps Engineer,"DevOps, Docker, Go, Kubernetes, Python, React, Security",33.3,38.06
U4443,Software Developer / Engineer,1,Education,"Git, SQL, Java",Bachelors,Cloud Developer (AWS/GCP/Azure),"Data Structures, DevOps, Kubernetes, Machine Learning, Security",32.9,41.12
U5649,Software Developer / Engineer,8,Technology,"OOP, SQL",Masters,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Cloud, Docker, Java, Linux, React",19.0,23.35
U1757,Software Developer / Engineer,5,Technology,"OOP, SQL, Python",Bachelors,Software Architect,"C++, Docker, Java, Linux, Microservices, React, System Design, Testing",36.1,43.24
U9099,Software Developer / Engineer,7,Education,"Python, SQL",Bachelors,Full Stack Developer,"Data Structures, Java, Kubernetes, React, Testing",32.9,40.13
U1822,Software Developer / Engineer,12,Education,"Java, Python",Bachelors,Cloud Developer (AWS/GCP/Azure),"Data Structures, DevOps, Kubernetes, Python, Testing",23.5,27.19
U8251,Software Developer / Engineer,12,Retail,"Git, SQL",Bachelors,"Front-End Developer (React, Angular, etc.)","Cloud, Data Structures, Kubernetes, Python, SQL",19.9,24.56
U9540,Software Developer / Engineer,3,Finance,"Git, OOP",Masters,Mobile App Developer (Android/iOS),"Data Structures, Java, Kotlin, Python, React, Swift, Testing",16.8,21.0
U9849,Software Developer / Engineer,11,Telecom,"Python, SQL, Git",Bachelors,Cloud Developer (AWS/GCP/Azure),"DevOps, Kubernetes, Node.js, SQL, Security",35.1,41.71
U7678,Software Developer / Engineer,5,Healthcare,"OOP, Git, Python",Masters,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Data Structures, DevOps, Machine Learning, SQL, Testing",20.4,24.54
U8814,Software Developer / Engineer,13,Technology,"Java, OOP, SQL",Masters,Cloud Developer (AWS/GCP/Azure),"Data Structures, Kubernetes, Machine Learning, Node.js, React",47.0,53.9
U8956,Software Developer / Engineer,15,Finance,"OOP, Python",Masters,DevOps Engineer,"DevOps, Docker, Go, Java, Kubernetes, Linux, Python",26.5,31.54
U7455,Software Developer / Engineer,11,Technology,"Git, Python, SQL",Masters,Cloud Developer (AWS/GCP/Azure),"Data Structures, Machine Learning, Python, Security, Testing",32.9,36.66
U6363,Software Developer / Engineer,4,Education,"Git, Python, Java",PhD,Full Stack Developer,"Cloud, Linux, Machine Learning, Python, Security",39.3,48.42
U8705,Software Developer / Engineer,0,Finance,"SQL, OOP",Bachelors,Mobile App Developer (Android/iOS),"Data Visualization, Excel, Java, Kotlin, Python, SQL, Swift",4.51,5.64
U1333,Software Developer / Engineer,2,Healthcare,"OOP, Python, Java",PhD,Mobile App Developer (Android/iOS),"Cloud, DevOps, Java, Kotlin, Machine Learning, React, SQL, Swift",9.1,10.5
U7043,Software Developer / Engineer,7,Automotive,"Git, Python, SQL",Masters,"Front-End Developer (React, Angular, etc.)","Cloud, Data Structures, Java, Node.js, React",8.3,10.23
U4249,Software Developer / Engineer,14,Finance,"SQL, Python, Java, Git",Masters,Game Developer,"Docker, Kubernetes, Machine Learning, React, Security",40.8,49.04
U2129,Software Developer / Engineer,10,Healthcare,"SQL, Python, Java, Git",Bachelors,Site Reliability Engineer (SRE),"Cloud, React, SQL, Security, Testing",44.3,51.43
U8135,Software Developer / Engineer,1,Finance,"Python, OOP, Git",Bachelors,Site Reliability Engineer (SRE),"Cloud, Docker, Node.js, Python, React",29.1,34.4
U5022,Software Developer / Engineer,12,Telecom,OOP,Bachelors,Cloud Developer (AWS/GCP/Azure),"Data Structures, Java, Kubernetes, Node.js, Security",18.1,21.68
U3979,Software Developer / Engineer,2,Automotive,"OOP, Git, Java",Bachelors,Site Reliability Engineer (SRE),"Cloud, Machine Learning, Node.js, Python, Testing",14.6,17.16
U9464,Software Developer / Engineer,5,Telecom,SQL,PhD,Cloud Developer (AWS/GCP/Azure),"DevOps, Docker, Java, Node.js, Testing",17.8,20.61
U1282,Software Developer / Engineer,9,Telecom,OOP,Masters,Site Reliability Engineer (SRE),"Cloud, Data Structures, Linux, Machine Learning, React",7.3,8.45
U9698,Software Developer / Engineer,11,Technology,"OOP, SQL",Bachelors,DevOps Engineer,"Cloud, Docker, Go, Java, Kubernetes, Python, SQL",24.8,29.82
U5118,Software Developer / Engineer,6,Automotive,OOP,Bachelors,Mobile App Developer (Android/iOS),"Data Structures, DevOps, Docker, Java, Kotlin, Linux, Machine Learning, Swift",8.5,9.39
U4545,Software Developer / Engineer,6,Healthcare,"OOP, Python, SQL",PhD,Full Stack Developer,"Cloud, DevOps, Docker, Linux, Node.js",10.8,13.34
U6912,Software Developer / Engineer,2,Automotive,"SQL, Java, Python",Bachelors,DevOps Engineer,"Docker, Go, Kubernetes, Machine Learning, React, SQL, Testing",29.4,34.9
U3068,Software Developer / Engineer,4,Technology,"Git, SQL, Java",Bachelors,Site Reliability Engineer (SRE),"DevOps, Linux, Machine Learning, Security, Testing",11.2,13.87
U1841,Software Developer / Engineer,0,Telecom,"SQL, OOP",Bachelors,Site Reliability Engineer (SRE),"Data Visualization, Excel, Python, SQL",6.95,7.95
U3444,Software Developer / Engineer,15,Retail,"Python, Java, SQL",Masters,Embedded Software Engineer,"C, C++, DevOps, Java, Node.js, Python, RTOS, SQL",19.8,21.88
U8381,Software Developer / Engineer,15,Technology,"OOP, Python, SQL",Bachelors,Embedded Software Engineer,"C, C++, Java, Linux, Python, RTOS, Security, Testing",44.9,51.98
U4457,Software Developer / Engineer,15,Technology,"SQL, Java",Bachelors,Full Stack Developer,"Cloud, Data Structures, DevOps, Docker, Testing",18.2,21.2
U8699,Software Developer / Engineer,14,Technology,"OOP, Git, Python, Java",Masters,Mobile App Developer (Android/iOS),"Docker, Java, Kotlin, Node.js, React, Security, Swift, Testing",9.8,11.97
U4241,Software Developer / Engineer,9,Telecom,"SQL, Java",Bachelors,Mobile App Developer (Android/iOS),"Data Structures, DevOps, Java, Kotlin, Linux, Node.js, Swift, Testing",44.9,52.84
U3718,Software Developer / Engineer,4,Healthcare,"OOP, Git, SQL, Python",Masters,API Developer,"Cloud, Data Structures, Docker, Java, Linux",19.3,23.3
U8172,Software Developer / Engineer,14,Retail,"Python, SQL, OOP",Bachelors,Embedded Software Engineer,"C, C++, Data Structures, DevOps, Docker, Machine Learning, RTOS, Testing",8.2,9.32
U1659,Software Developer / Engineer,3,Technology,"SQL, Java, Python",PhD,Full Stack Developer,"Kubernetes, Machine Learning, Node.js, React, Security",25.5,28.98
U8700,Software Developer / Engineer,15,Technology,"SQL, Git, OOP",Bachelors,Game Developer,"Cloud, Docker, SQL, Security, Testing",71.0,82.54
U7561,Software Developer / Engineer,0,Finance,"Python, Git, OOP",Masters,Site Reliability Engineer (SRE),"Data Visualization, Excel, Python, SQL",6.76,7.78
U9889,Software Developer / Engineer,7,Automotive,"Python, SQL, Git, Java",Bachelors,Mobile App Developer (Android/iOS),"Java, Kotlin, Node.js, React, SQL, Swift, Testing",46.7,58.34
U4335,Software Developer / Engineer,1,Healthcare,"OOP, SQL",Bachelors,DevOps Engineer,"Cloud, Data Structures, Docker, Go, Kubernetes, Machine Learning, Node.js, SQL",4.5,5.41
U6091,Software Developer / Engineer,12,Finance,"Python, Java",Masters,Software Architect,"C++, Docker, Kubernetes, Machine Learning, Microservices, Node.js, Python, System Design",56.8,63.84
U3522,Software Developer / Engineer,3,Technology,"Python, OOP, Java",PhD,API Developer,"Cloud, Docker, Linux, Node.js, SQL",28.2,32.37
U7284,Software Developer / Engineer,4,Education,"SQL, OOP, Python",Bachelors,"Front-End Developer (React, Angular, etc.)","DevOps, Kubernetes, Node.js, SQL, Security",40.8,46.88
U5634,Software Developer / Engineer,2,Automotive,SQL,Masters,Cloud Developer (AWS/GCP/Azure),"Data Structures, DevOps, Node.js, React, SQL",17.0,20.25
U8460,Software Developer / Engineer,15,Finance,Git,Masters,Mobile App Developer (Android/iOS),"Java, Kotlin, Kubernetes, Machine Learning, React, SQL, Security, Swift",65.4,77.31
U8749,Software Developer / Engineer,8,Finance,OOP,Bachelors,Game Developer,"Cloud, Docker, Linux, Node.js, Testing",23.8,29.53
U2633,Full Stack Developer,10,Education,,PhD,Game Developer,"Data Structures, Java, Node.js, Security, Testing",11.4,12.85
U6546,Full Stack Developer,8,Education,,PhD,Site Reliability Engineer (SRE),"Data Structures, DevOps, Java, React, SQL",20.9,24.49
U9864,Full Stack Developer,14,Technology,,Masters,Site Reliability Engineer (SRE),"Cloud, Docker, Kubernetes, Machine Learning, Node.js",12.6,14.65
U8269,Full Stack Developer,4,Retail,,Masters,Embedded Software Engineer,"C, C++, Data Structures, Linux, Node.js, RTOS, Security, Testing",32.6,39.16
U3385,Full Stack Developer,9,Education,,Bachelors,Mobile App Developer (Android/iOS),"Cloud, Docker, Java, Kotlin, Kubernetes, Linux, Security, Swift",55.7,65.16
U3344,Full Stack Developer,12,Healthcare,,Bachelors,Embedded Software Engineer,"C, C++, Cloud, DevOps, Docker, Linux, Node.js, RTOS",27.4,34.25
U2210,Full Stack Developer,11,Healthcare,,Bachelors,Embedded Software Engineer,"C, C++, Cloud, DevOps, Kubernetes, Node.js, RTOS, Testing",55.5,63.13
U7302,Full Stack Developer,1,Telecom,,Bachelors,Embedded Software Engineer,"C, C++, DevOps, Kubernetes, Node.js, Python, RTOS, Testing",29.8,36.7
U7484,Full Stack Developer,7,Automotive,,Masters,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Data Structures, Machine Learning, Node.js, React, Security",22.3,25.34
U4588,Full Stack Developer,8,Education,,Masters,Game Developer,"Cloud, Docker, Linux, Security, Testing",34.2,38.0
U6977,Full Stack Developer,11,Automotive,,PhD,API Developer,"DevOps, Node.js, React, SQL, Testing",38.0,43.94
U9697,Full Stack Developer,2,Technology,,Bachelors,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Data Structures, Machine Learning, Python, React, Security",11.8,14.71
U2233,Full Stack Developer,7,Retail,,Masters,Site Reliability Engineer (SRE),"Cloud, Data Structures, Machine Learning, Node.js, Security",10.5,11.94
U5332,Full Stack Developer,13,Finance,,Bachelors,Software Developer / Engineer,"C, C++, Data Structures, DevOps, Docker, Git, Linux, Node.js",31.8,39.72
U4830,Full Stack Developer,4,Retail,,PhD,Software Developer / Engineer,"C, C++, Data Structures, DevOps, Docker, Git, Kubernetes, React",40.6,49.64
U2911,Full Stack Developer,4,Technology,,PhD,Game Developer,"Cloud, Docker, Kubernetes, Python, Testing",5.8,6.84
U7367,Full Stack Developer,2,Telecom,,Masters,DevOps Engineer,"Cloud, Docker, Go, Kubernetes, React, SQL, Testing",35.0,42.75
U7686,Full Stack Developer,14,Automotive,,Bachelors,Site Reliability Engineer (SRE),"Data Structures, Linux, SQL, Security, Testing",71.7,79.17
U7018,Full Stack Developer,10,Technology,,Masters,Cloud Developer (AWS/GCP/Azure),"Cloud, Data Structures, React, SQL, Security",21.2,26.35
U1349,Full Stack Developer,11,Healthcare,,Masters,"Front-End Developer (React, Angular, etc.)","Docker, Kubernetes, Linux, Python, Testing",25.3,30.4
U4538,Full Stack Developer,1,Education,,Bachelors,Software Developer / Engineer,"C, C++, Data Structures, DevOps, Git, Java, Kubernetes, Testing",11.2,14.0
U1422,Full Stack Developer,14,Technology,,Masters,Site Reliability Engineer (SRE),"Cloud, Docker, Node.js, Python, Testing",41.9,48.52
U3076,Full Stack Developer,12,Education,,PhD,API Developer,"Data Structures, Java, Kubernetes, Linux, SQL",14.5,18.12
U1710,Full Stack Developer,4,Healthcare,,PhD,"Front-End Developer (React, Angular, etc.)","Data Structures, DevOps, Machine Learning, Node.js, Security",27.4,34.22
U8267,Full Stack Developer,12,Healthcare,,Masters,Site Reliability Engineer (SRE),"Java, Kubernetes, Machine Learning, Security, Testing",16.4,20.05
U8433,Full Stack Developer,14,Telecom,,Bachelors,Software Developer / Engineer,"C, C++, DevOps, Docker, Git, Kubernetes, Linux, Python",16.9,20.51
U4743,Full Stack Developer,10,Automotive,,Bachelors,"Front-End Developer (React, Angular, etc.)","Cloud, Docker, Machine Learning, React, Testing",36.7,43.89
U5176,Full Stack Developer,4,Automotive,,Masters,API Developer,"Data Structures, Docker, Machine Learning, Node.js, Security",6.3,7.38
U7105,Full Stack Developer,5,Healthcare,,Masters,"Front-End Developer (React, Angular, etc.)","DevOps, Kubernetes, Linux, Machine Learning, Security",41.5,46.55
U5712,Full Stack Developer,2,Education,,Bachelors,Site Reliability Engineer (SRE),"Cloud, Data Structures, Kubernetes, Machine Learning, Python",11.6,13.82
U2773,Full Stack Developer,12,Healthcare,,Masters,Embedded Software Engineer,"C, C++, Cloud, Linux, Machine Learning, Node.js, RTOS, SQL",18.9,21.63
U3955,Full Stack Developer,14,Telecom,,Bachelors,"Front-End Developer (React, Angular, etc.)","Data Structures, Docker, Java, Machine Learning, Node.js",14.6,17.48
U1502,Full Stack Developer,10,Telecom,,PhD,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Data Structures, DevOps, Java, Node.js, Python",22.6,26.85
U2391,Full Stack Developer,10,Automotive,,Bachelors,Game Developer,"Linux, Node.js, Python, React, SQL",27.8,34.75
U8242,Full Stack Developer,4,Technology,,PhD,Software Architect,"C++, Cloud, Data Structures, Docker, Machine Learning, Microservices, Security, System Design",28.4,32.22
U1744,Full Stack Developer,5,Education,,Bachelors,Software Architect,"C++, Docker, Machine Learning, Microservices, Node.js, React, System Design, Testing",29.1,36.38
U5742,Full Stack Developer,1,Technology,,Masters,API Developer,"Docker, Kubernetes, Machine Learning, Python, Testing",13.6,16.61
U9196,Full Stack Developer,6,Healthcare,,Masters,Cloud Developer (AWS/GCP/Azure),"Cloud, Data Structures, Python, React, Testing",27.4,34.01
U2275,Full Stack Developer,0,Healthcare,,Bachelors,DevOps Engineer,"Customer Service, Docker, Go, Kubernetes, Networking Basics, Operating Systems",5.11,6.07
U1341,Full Stack Developer,4,Education,,Bachelors,Site Reliability Engineer (SRE),"Docker, Linux, Node.js, React, Testing",17.3,21.03
U4986,Full Stack Developer,14,Telecom,,Bachelors,API Developer,"DevOps, Linux, Machine Learning, React, Security",15.6,17.88
U2251,Full Stack Developer,7,Education,,Bachelors,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Cloud, Data Structures, Kubernetes, Linux, SQL",13.4,15.03
U3399,Full Stack Developer,12,Retail,,Bachelors,Software Developer / Engineer,"C, C++, Data Structures, Docker, Git, Java, Machine Learning, Security",64.4,76.1
U8354,Full Stack Developer,1,Finance,,Bachelors,Software Architect,"C++, Cloud, Machine Learning, Microservices, Node.js, Security, System Design, Testing",11.6,14.5
U5500,Full Stack Developer,8,Healthcare,,Bachelors,Software Architect,"C++, Cloud, Docker, Java, Machine Learning, Microservices, System Design, Testing",22.7,28.38
U5703,Full Stack Developer,10,Automotive,,Masters,Game Developer,"Docker, Machine Learning, SQL, Security, Testing",8.1,9.52
U6267,Full Stack Developer,13,Technology,,Bachelors,Embedded Software Engineer,"C, C++, Docker, Python, RTOS, React, SQL, Testing",16.6,18.74
U1641,Full Stack Developer,7,Automotive,,Bachelors,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Cloud, DevOps, Docker, Java, Testing",39.4,46.47
U1857,Full Stack Developer,5,Healthcare,,Bachelors,Software Developer / Engineer,"C, C++, DevOps, Docker, Git, Node.js, Python, React",14.1,17.62
U6461,Full Stack Developer,9,Automotive,,Masters,Site Reliability Engineer (SRE),"Docker, Java, Python, React, Security",7.6,9.07
U7171,Full Stack Developer,13,Telecom,,Masters,Mobile App Developer (Android/iOS),"Cloud, Java, Kotlin, Machine Learning, Node.js, React, Security, Swift",53.5,60.25
U6060,Full Stack Developer,2,Healthcare,,Bachelors,Mobile App Developer (Android/iOS),"Data Structures, Java, Kotlin, Kubernetes, SQL, Security, Swift",11.5,12.89
U2657,Full Stack Developer,8,Finance,,Bachelors,Mobile App Developer (Android/iOS),"Data Structures, DevOps, Java, Kotlin, Kubernetes, Machine Learning, Swift, Testing",46.3,56.78
U3962,Full Stack Developer,12,Retail,,Masters,Software Architect,"C++, Cloud, Data Structures, Microservices, Node.js, Security, System Design, Testing",41.9,49.39
U8355,Full Stack Developer,14,Finance,,Bachelors,"Front-End Developer (React, Angular, etc.)","Java, Python, React, SQL, Testing",45.1,56.02
U7256,Full Stack Developer,2,Healthcare,,Masters,Game Developer,"Data Structures, Kubernetes, React, Security, Testing",15.9,18.41
U7081,Full Stack Developer,7,Retail,,PhD,Mobile App Developer (Android/iOS),"Data Structures, Java, Kotlin, Machine Learning, React, Security, Swift",28.0,31.7
U8167,Full Stack Developer,4,Education,,Bachelors,Cloud Developer (AWS/GCP/Azure),"Java, Kubernetes, Node.js, SQL, Testing",10.0,11.4
U4862,Full Stack Developer,13,Education,,Masters,"Front-End Developer (React, Angular, etc.)","DevOps, Java, React, Security, Testing",56.9,63.17
U1627,Full Stack Developer,14,Healthcare,,Bachelors,Mobile App Developer (Android/iOS),"Java, Kotlin, Kubernetes, Machine Learning, SQL, Security, Swift, Testing",33.8,42.25
U1311,Full Stack Developer,11,Telecom,,PhD,Software Developer / Engineer,"C, C++, DevOps, Git, Kubernetes, Node.js, Python, SQL",58.3,68.14
U4906,Full Stack Developer,5,Healthcare,,Bachelors,Game Developer,"Cloud, Docker, Kubernetes, SQL, Security",31.6,34.92
U7521,Front-End Developer,0,Telecom,,Bachelors,Front-End Developer,"Customer Service, Networking Basics, Operating Systems",6.07,7.09
U9341,Front-End Developer,0,Telecom,,PhD,Front-End Developer,"Customer Service, Networking Basics, Operating Systems",4.47,5.28
U5350,Front-End Developer,0,Technology,,Bachelors,Front-End Developer,"Customer Service, Networking Basics, Operating Systems",6.84,8.39
U5054,Front-End Developer,0,Automotive,,Masters,Front-End Developer,"Customer Service, Networking Basics, Operating Systems",3.55,4.41
U3219,Front-End Developer,0,Telecom,,Masters,Front-End Developer,"Customer Service, Networking Basics, Operating Systems",3.53,4.27
U7703,Back-End Developer,0,Education,,Masters,Back-End Developer,"Customer Service, Networking Basics, Operating Systems",4.76,5.42
U2106,Back-End Developer,0,Technology,,Bachelors,Back-End Developer,"Customer Service, Networking Basics, Operating Systems",3.42,4.2
U1157,Back-End Developer,0,Healthcare,,PhD,Back-End Developer,"Customer Service, Networking Basics, Operating Systems",6.11,6.88
U3007,Mobile App Developer,0,Automotive,,PhD,Mobile App Developer,"Customer Service, Networking Basics, Operating Systems",3.89,4.74
U4267,Mobile App Developer,0,Education,,Bachelors,Mobile App Developer,"Customer Service, Networking Basics, Operating Systems",6.8,7.86
U2770,Mobile App Developer,0,Finance,,Masters,Mobile App Developer,"Customer Service, Networking Basics, Operating Systems",5.06,6.04
U5825,Mobile App Developer,0,Automotive,,Bachelors,Mobile App Developer,"Customer Service, Networking Basics, Operating Systems",3.63,4.01
U7249,Mobile App Developer,0,Healthcare,,Bachelors,Mobile App Developer,"Customer Service, Networking Basics, Operating Systems",3.99,4.67
U4366,Mobile App Developer,0,Retail,,Bachelors,Mobile App Developer,"Customer Service, Networking Basics, Operating Systems",6.07,7.26
U8488,DevOps Engineer,6,Retail,,Bachelors,Mobile App Developer (Android/iOS),"Cloud, Java, Kotlin, Kubernetes, Linux, SQL, Swift",36.1,43.87
U9260,DevOps Engineer,6,Retail,,Bachelors,"Back-End Developer (Node.js, Django, Spring Boot, etc.)","Data Structures, Java, Kubernetes, SQL, Testing",27.5,31.01
U3845,DevOps Engineer,4,Telecom,,Bachelors,Full Stack Developer,"Data Structures, Docker, Node.js, Python, SQL",4.6,5.14
U6617,DevOps Engineer,14,Retail,,Bachelors,"Front-End Developer (React, Angular, etc.)","Cloud, Java, Linux, Node.js, Python",44.9,55.68
U4560,DevOps Engineer,12,Healthcare,,PhD,Site Reliability Engineer (SRE),"Data Structures, Python, SQL, Security, Testing",7.3,9.12
U2890,DevOps Engineer,12,Education,,Bachelors,Full Stack Developer,"Cloud, Data Structures, Docker, Node.js, Testing",9.1,10.99
U9564,DevOps Engineer,4,Technology,,Bachelors,Software Developer / Engineer,"C, C++, Cloud, DevOps, Docker, Git, Linux, Testing",36.1,44.29
U5695,DevOps Engineer,3,Retail,,Masters,Mobile App Developer (Android/iOS),"Cloud, DevOps, Docker, Java, Kotlin, React, Security, Swift",12.4,15.16
U4675,DevOps Engineer,12,Finance,,Masters,Embedded Software Engineer,"C, C++, Data Structures, Java, Linux, Machine Learning, RTOS, Security",33.9,38.1
U6122,DevOps Engineer,0,Retail,,Masters,Cloud Developer (AWS/GCP/Azure),"Customer Service, Networking Basics, Operating Systems",6.42,7.98
U4170,DevOps Engineer,9,Technology,,Masters,Cloud Developer (AWS/GCP/Azure),"Cloud, Data Structures, Docker, Python, Security",53.4,65.06
