Company Name,Pros,Cons,Description,Text
Zoho, Work culture is good and full of fun. Good work-life balance once you get used to the technologies and frameworks used. Free food and other perks. Good culture with scope for more facilities. Flexible timing and performance-based rewards. , Low salary compared to other product-based companies. A bad manager can make a project feel like a typical service-based company. Too much internal politics in some teams. No career growth—you are stuck. Lack of diversity and inclusion efforts.,"Zoho Corp. is a privately-held and profitable company with three divisions:_x000D_
- Zoho.com, provider of smart cloud software for growing business with more than 10 million users_x000D_
- ManageEngine, IT Management Software, with over 72,000 customers_x000D_
- WebNMS, a Network Management Suite with 25,000 Tier 1 carrier deployments)._x000D_
_x000D_
With U.S. headquarters in Pleasanton, CA and offices in Austin, Chennai, London, Tokyo and Beijing, Zoho Corp. serves the technology needs of millions of customers worldwide. For more information about Zoho Corp., please visit www.zohocorp.com._x000D_
_x000D_
"," Work culture is good and full of fun. Good work-life balance once you get used to the technologies and frameworks used. Free food and other perks. Good culture with scope for more facilities. Flexible timing and performance-based rewards.   Low salary compared to other product-based companies. A bad manager can make a project feel like a typical service-based company. Too much internal politics in some teams. No career growth—you are stuck. Lack of diversity and inclusion efforts. Zoho Corp. is a privately-held and profitable company with three divisions:_x000D_
- Zoho.com, provider of smart cloud software for growing business with more than 10 million users_x000D_
- ManageEngine, IT Management Software, with over 72,000 customers_x000D_
- WebNMS, a Network Management Suite with 25,000 Tier 1 carrier deployments)._x000D_
_x000D_
With U.S. headquarters in Pleasanton, CA and offices in Austin, Chennai, London, Tokyo and Beijing, Zoho Corp. serves the technology needs of millions of customers worldwide. For more information about Zoho Corp., please visit www.zohocorp.com._x000D_
_x000D_
"
UBS," Great colleagues and strong networking opportunities. Good work-life balance and remote work options, depending on the team. Approachable leadership with a strong mentoring culture. Good salary and benefits. ", Poor management with limited flexibility in work-life balance. Low bonuses and salary hikes. Long working hours can disrupt personal plans. Compensation is relatively low compared to industry standards. Experience depends on the manager.,"From gaining new experiences in different roles to acquiring fresh knowledge and skills – at UBS we believe that you should never stop growing and learning because life never stops teaching. We know that it's our people – with their unique backgrounds, skills, experience levels and interests – who drive our ongoing success. Ready to be part of #teamUBS and make an impact? Find out more at ubs.com/careers.  


UBS works with individuals, families, institutions, and corporations around the world to help answer some of life's questions – whether through award winning wealth management advisory, investment banking and asset management expertise, or private and corporate banking services in Switzerland. In June 2023, Credit Suisse became a UBS Group company. 

 

We have a presence in all major financial centers in more than 50 countries. Although we all come from different backgrounds and specializations, two things unite us: the conviction that we’re stronger together, and the will and curiosity to constantly innovate. That’s the key to us unlocking our full potential (and what we look for in everyone who joins us). It’s also why we’re regularly recognized as an attractive employer (https://www.ubs.com/awards). "," Great colleagues and strong networking opportunities. Good work-life balance and remote work options, depending on the team. Approachable leadership with a strong mentoring culture. Good salary and benefits.   Poor management with limited flexibility in work-life balance. Low bonuses and salary hikes. Long working hours can disrupt personal plans. Compensation is relatively low compared to industry standards. Experience depends on the manager. From gaining new experiences in different roles to acquiring fresh knowledge and skills – at UBS we believe that you should never stop growing and learning because life never stops teaching. We know that it's our people – with their unique backgrounds, skills, experience levels and interests – who drive our ongoing success. Ready to be part of #teamUBS and make an impact? Find out more at ubs.com/careers.  


UBS works with individuals, families, institutions, and corporations around the world to help answer some of life's questions – whether through award winning wealth management advisory, investment banking and asset management expertise, or private and corporate banking services in Switzerland. In June 2023, Credit Suisse became a UBS Group company. 

 

We have a presence in all major financial centers in more than 50 countries. Although we all come from different backgrounds and specializations, two things unite us: the conviction that we’re stronger together, and the will and curiosity to constantly innovate. That’s the key to us unlocking our full potential (and what we look for in everyone who joins us). It’s also why we’re regularly recognized as an attractive employer (https://www.ubs.com/awards). "
HSBC," Good work-life balance and job stability with above-average growth. Strong benefits for long-term employees. Friendly and supportive colleagues. Efforts to build a good culture, though it varies by team. ", Low salary and bonuses with high sales expectations. Office politics and poor management in some areas. Long working hours with minimal breaks. Experience depends on the manager.,"One of the world's largest banking groups by assets, HSBC Holdings owns subsidiaries throughout Europe, Hong Kong and the rest of the Asia/Pacific region, the Middle East and Africa, and the Americas. All told, the company has some 7,500 locations in more than 80 countries. Its activities include consumer and commercial banking, credit cards, private banking, investment banking, and leasing. Its North American operations comprise HSBC USA, HSBC Bank Canada, HSBC Bank Bermuda, and Grupo Financiero HSBC in Mexico."," Good work-life balance and job stability with above-average growth. Strong benefits for long-term employees. Friendly and supportive colleagues. Efforts to build a good culture, though it varies by team.   Low salary and bonuses with high sales expectations. Office politics and poor management in some areas. Long working hours with minimal breaks. Experience depends on the manager. One of the world's largest banking groups by assets, HSBC Holdings owns subsidiaries throughout Europe, Hong Kong and the rest of the Asia/Pacific region, the Middle East and Africa, and the Americas. All told, the company has some 7,500 locations in more than 80 countries. Its activities include consumer and commercial banking, credit cards, private banking, investment banking, and leasing. Its North American operations comprise HSBC USA, HSBC Bank Canada, HSBC Bank Bermuda, and Grupo Financiero HSBC in Mexico."
Philips," Good work-life balance with opportunities to work on impactful real-world problems. Competitive benefits, flexible culture, and strong collaboration among colleagues. ", Negative work environment with poor management. Frequent layoffs and leadership focused on metrics over employee well-being.,"For more than 130 years, we have been creating technologies and innovations that improve people's 
lives and support healthcare practitioners. 
Headquartered in the Netherlands and operating in more than 100 countries globally, we focus our 
advanced technology and deep clinical and consumer insights on:
• Precision Diagnosis
• Image Guided Therapy
• Enterprise Informatics
• Monitoring/ Connected Care
• Sleep & Respiratory Care
• Personal Health
Learn more about our healthcare business: https://www.philips.com/a-w/about.html
Discover our rich and exciting history: https://www.philips.com/a-w/about/our-history.html"," Good work-life balance with opportunities to work on impactful real-world problems. Competitive benefits, flexible culture, and strong collaboration among colleagues.   Negative work environment with poor management. Frequent layoffs and leadership focused on metrics over employee well-being. For more than 130 years, we have been creating technologies and innovations that improve people's 
lives and support healthcare practitioners. 
Headquartered in the Netherlands and operating in more than 100 countries globally, we focus our 
advanced technology and deep clinical and consumer insights on:
• Precision Diagnosis
• Image Guided Therapy
• Enterprise Informatics
• Monitoring/ Connected Care
• Sleep & Respiratory Care
• Personal Health
Learn more about our healthcare business: https://www.philips.com/a-w/about.html
Discover our rich and exciting history: https://www.philips.com/a-w/about/our-history.html"
Microland," Good work culture, friendly environment, and strong learning opportunities, especially for freshers. Exposure to multiple technologies. "," Low salary compared to industry standards, poor management and HR policies, and lack of work-life balance.","A pioneer of the remote infrastructure management concept, Microland has its operations hub in India with global presence across USA, UK and Middle East. Incorporated in 1989, Microland has deep and broad expertise in all areas of technology infrastructure set up, management & optimization._x000D_
_x000D_
Microland has built extraordinary partnerships with global customers, nurturing them with rare commitment for years. Commitment to place the customer ahead of everything else. Commitment to highest standards of governance and business ethics. Commitment to provide solutions and services of the highest quality. Commitment to consistently deliver superior value through innovation and smart thinking resulting in reduced TCO, greater IT-Business alignment and higher performance to our clients._x000D_
"," Good work culture, friendly environment, and strong learning opportunities, especially for freshers. Exposure to multiple technologies.   Low salary compared to industry standards, poor management and HR policies, and lack of work-life balance. A pioneer of the remote infrastructure management concept, Microland has its operations hub in India with global presence across USA, UK and Middle East. Incorporated in 1989, Microland has deep and broad expertise in all areas of technology infrastructure set up, management & optimization._x000D_
_x000D_
Microland has built extraordinary partnerships with global customers, nurturing them with rare commitment for years. Commitment to place the customer ahead of everything else. Commitment to highest standards of governance and business ethics. Commitment to provide solutions and services of the highest quality. Commitment to consistently deliver superior value through innovation and smart thinking resulting in reduced TCO, greater IT-Business alignment and higher performance to our clients._x000D_
"
Morgan Stanley," Great culture with networking opportunities, good benefits like paternity leave, and flexible work options. Decent work-life balance depending on market conditions. "," Long working hours, poor management leading to high turnover, lack of career growth support, and lower compensation compared to competitors like Goldman Sachs and JPMorgan.","Upcoming Update: Morgan Stanley’s Applicant Tracking System for Experienced Hires will be unavailable from January 24 to February 3 due to a system migration. Apply now to have your application reach their team before this downtime. Else you will have to wait until they are back online on February 4.

For over 88 years, Morgan Stanley has combined old school wisdom with a passion for what's possible. Doing so enables us to provide clients with exceptional service in a way that reflects our commitment to creating a more sustainable future and fostering stronger communities around the world. In each line of business, we strive to demonstrate our belief in the power of transformative thinking, innovative strategies and leading-edge solutions. Together, no challenge is unmet.

Underpinning all that we do are five core values - put clients first, do the right thing, lead with exceptional ideas, commit to diversity and inclusion, and give back. These values, paired with the relentless pursuit of untapped possibilities, allow Morgan Stanley to consistently deliver first-class business in a first-class way."," Great culture with networking opportunities, good benefits like paternity leave, and flexible work options. Decent work-life balance depending on market conditions.   Long working hours, poor management leading to high turnover, lack of career growth support, and lower compensation compared to competitors like Goldman Sachs and JPMorgan. Upcoming Update: Morgan Stanley’s Applicant Tracking System for Experienced Hires will be unavailable from January 24 to February 3 due to a system migration. Apply now to have your application reach their team before this downtime. Else you will have to wait until they are back online on February 4.

For over 88 years, Morgan Stanley has combined old school wisdom with a passion for what's possible. Doing so enables us to provide clients with exceptional service in a way that reflects our commitment to creating a more sustainable future and fostering stronger communities around the world. In each line of business, we strive to demonstrate our belief in the power of transformative thinking, innovative strategies and leading-edge solutions. Together, no challenge is unmet.

Underpinning all that we do are five core values - put clients first, do the right thing, lead with exceptional ideas, commit to diversity and inclusion, and give back. These values, paired with the relentless pursuit of untapped possibilities, allow Morgan Stanley to consistently deliver first-class business in a first-class way."
DXC Technology," Good work-life balance if boundaries are set, permanent work-from-home options, flexible environment, and decent benefits. "," Low salary with minimal chances of promotion, poor management, lack of raises or bonuses, and job insecurity due to frequent regulation changes and layoffs.","DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship. We are DXC.

What we do

We deliver the IT services our customers need to modernize operations and drive innovation across their entire IT estate. We provide services across the Enterprise Technology Stack for business process outsourcing, analytics and engineering, applications, security, cloud, IT outsourcing and modern workplace.

How we work

Every day, we earn our customers’ trust by delivering transformative technologies to ensure the success, safety and well-being of businesses and people worldwide. We provide world-class IT services at scale from our Global Innovation and Delivery Centers in North America, South America, Europe, Asia and Australia. Our globally connected centers enable us to solve complex technology challenges and transform our customers’ businesses through our dedicated delivery workforce of more than 110,000 people. With globally distributed teams and rich engineering skills, DXC offers competitive solutions to address customers’ cost, regulatory, language and business continuity requirements.

We leverage the power of partnerships through our curated DXC ecosystem of technology leaders. By combining strengths and expertise globally, we create solutions and deliver greater outcomes for customers across the Enterprise Technology Stack.

Our values

Our values are the fabric of DXC. They bind us together regardless of where or how we work and position us to succeed on our transformation journey.

    Deliver... We do what we say we are going to do.
    Collaborate... We work as a team - globally and locally.
    Community... We believe in stewardship and building a sustainable company that supports our 
     communities.
     Care... We take care of each other and foster a culture of inclusion and belonging.
     Do the right thing... We act with integrity. "," Good work-life balance if boundaries are set, permanent work-from-home options, flexible environment, and decent benefits.   Low salary with minimal chances of promotion, poor management, lack of raises or bonuses, and job insecurity due to frequent regulation changes and layoffs. DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship. We are DXC.

What we do

We deliver the IT services our customers need to modernize operations and drive innovation across their entire IT estate. We provide services across the Enterprise Technology Stack for business process outsourcing, analytics and engineering, applications, security, cloud, IT outsourcing and modern workplace.

How we work

Every day, we earn our customers’ trust by delivering transformative technologies to ensure the success, safety and well-being of businesses and people worldwide. We provide world-class IT services at scale from our Global Innovation and Delivery Centers in North America, South America, Europe, Asia and Australia. Our globally connected centers enable us to solve complex technology challenges and transform our customers’ businesses through our dedicated delivery workforce of more than 110,000 people. With globally distributed teams and rich engineering skills, DXC offers competitive solutions to address customers’ cost, regulatory, language and business continuity requirements.

We leverage the power of partnerships through our curated DXC ecosystem of technology leaders. By combining strengths and expertise globally, we create solutions and deliver greater outcomes for customers across the Enterprise Technology Stack.

Our values

Our values are the fabric of DXC. They bind us together regardless of where or how we work and position us to succeed on our transformation journey.

    Deliver... We do what we say we are going to do.
    Collaborate... We work as a team - globally and locally.
    Community... We believe in stewardship and building a sustainable company that supports our 
     communities.
     Care... We take care of each other and foster a culture of inclusion and belonging.
     Do the right thing... We act with integrity. "
Honeywell," Great colleagues, good work-life balance, strong benefits, and good pay for fresh graduates with extensive training. "," Poor management with internal politics, lack of understanding in senior leadership, poor project planning, and no work-from-home policy leading to long office hours.","Honeywell (www.honeywell.com) delivers industry specific solutions that include aerospace products and services; control technologies for buildings and industry; and performance materials globally. Our technologies help aircraft, buildings, manufacturing plants, supply chains, and workers become more connected to make our world smarter, safer, and more sustainable. For more news and information on Honeywell, please visit www.honeywell.com/newsroom.
"," Great colleagues, good work-life balance, strong benefits, and good pay for fresh graduates with extensive training.   Poor management with internal politics, lack of understanding in senior leadership, poor project planning, and no work-from-home policy leading to long office hours. Honeywell (www.honeywell.com) delivers industry specific solutions that include aerospace products and services; control technologies for buildings and industry; and performance materials globally. Our technologies help aircraft, buildings, manufacturing plants, supply chains, and workers become more connected to make our world smarter, safer, and more sustainable. For more news and information on Honeywell, please visit www.honeywell.com/newsroom.
"
Schneider Electric," Good work-life balance, strong benefits, global company stability, supportive work culture, and ethical environment. "," Low salaries with major discrepancies, poor management resistant to new technologies, bad managers retained for years, weak upper management, and excessive office politics.","Schneider Electric is a global leader in digital transformation, energy management, and automation. With a commitment to sustainability and innovation, the company provides cutting-edge solutions for efficiency and sustainability in homes, buildings, data centers, infrastructure, and industries. Through our comprehensive range of products, software, and services, Schneider Electric empowers customers to manage and automate operations, making energy safe, reliable, efficient, and sustainable. With a strong focus on advancing digital solutions, Schneider Electric is dedicated to shaping the future of energy management and automation while ensuring a positive impact on the planet and society."," Good work-life balance, strong benefits, global company stability, supportive work culture, and ethical environment.   Low salaries with major discrepancies, poor management resistant to new technologies, bad managers retained for years, weak upper management, and excessive office politics. Schneider Electric is a global leader in digital transformation, energy management, and automation. With a commitment to sustainability and innovation, the company provides cutting-edge solutions for efficiency and sustainability in homes, buildings, data centers, infrastructure, and industries. Through our comprehensive range of products, software, and services, Schneider Electric empowers customers to manage and automate operations, making energy safe, reliable, efficient, and sustainable. With a strong focus on advancing digital solutions, Schneider Electric is dedicated to shaping the future of energy management and automation while ensuring a positive impact on the planet and society."
ServiceNow," Strong company culture, good work-life balance (varies by team), great colleagues, fair benefits, and clear leadership structure. "," Risk of bad management, toxic middle management, long hours, excessive workload, and lack of diversity.","At ServiceNow, our technology makes the world work for everyone, and our people make it possible. Our cloud‑based platform and solutions deliver digital workflows that create great experiences and unlock productivity for employees and the enterprise. 

With more than 8,100+ customers, we serve approximately 85% of the Fortune 500®, and we're proud to be a Fortune 100 Best Companies to Work For® and World's Most Admired Companies™.

Explore your future career with us, visit www.servicenow.com/careers.

From Fortune. ©2024 Fortune Media IP Limited. All rights reserved. Used under license."," Strong company culture, good work-life balance (varies by team), great colleagues, fair benefits, and clear leadership structure.   Risk of bad management, toxic middle management, long hours, excessive workload, and lack of diversity. At ServiceNow, our technology makes the world work for everyone, and our people make it possible. Our cloud‑based platform and solutions deliver digital workflows that create great experiences and unlock productivity for employees and the enterprise. 

With more than 8,100+ customers, we serve approximately 85% of the Fortune 500®, and we're proud to be a Fortune 100 Best Companies to Work For® and World's Most Admired Companies™.

Explore your future career with us, visit www.servicenow.com/careers.

From Fortune. ©2024 Fortune Media IP Limited. All rights reserved. Used under license."
LinkedIn," Great company culture, excellent benefits, strong work-life balance, and generous perks like free food and gym. "," Some bad management, inexperienced middle management, unnecessary layoffs, and limited career progression.","LinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed.​ 
 
Join us to transform the way the world works."," Great company culture, excellent benefits, strong work-life balance, and generous perks like free food and gym.   Some bad management, inexperienced middle management, unnecessary layoffs, and limited career progression. LinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed.​ 
 
Join us to transform the way the world works."
Workday," Great company culture, supportive environment, excellent benefits, good work-life balance, and competitive pay. "," Poor middle management, risk of bad managers, long hours, stress, and upper management disconnect.","Workday brings finance, HR, and planning into one system, making it possible for enterprises of all sizes to shed their disparate systems and build better businesses. We serve over 7,900 of the world’s largest companies, educational institutions, and government agencies. That’s more than 45 million workers whose days are brighter with Workday.

But that’s only part of what we do. We also take care of our employees, partner closely with our customers, and do good in the communities where we live and work. We lead with values and put people first—always."," Great company culture, supportive environment, excellent benefits, good work-life balance, and competitive pay.   Poor middle management, risk of bad managers, long hours, stress, and upper management disconnect. Workday brings finance, HR, and planning into one system, making it possible for enterprises of all sizes to shed their disparate systems and build better businesses. We serve over 7,900 of the world’s largest companies, educational institutions, and government agencies. That’s more than 45 million workers whose days are brighter with Workday.

But that’s only part of what we do. We also take care of our employees, partner closely with our customers, and do good in the communities where we live and work. We lead with values and put people first—always."
Atlassian," Strong company culture, great colleagues, interesting engineering challenges, excellent benefits, good work-life balance, and competitive pay. "," Risk of bad management, poor leadership communication, secret layoffs, and limited growth opportunities.","We're a team of 12,000+ Atlassians dedicated to helping over 300,000+ customers unleash the potential of every team in their organisations. Our best-in-class collaboration tools – including Jira, Confluence, Trello, Loom, and Rovo – help cross-functional teams come together and deliver quality results on time. We’re continuing to innovate across our products as we speed up our evolution into a world-class enterprise company."," Strong company culture, great colleagues, interesting engineering challenges, excellent benefits, good work-life balance, and competitive pay.   Risk of bad management, poor leadership communication, secret layoffs, and limited growth opportunities. We're a team of 12,000+ Atlassians dedicated to helping over 300,000+ customers unleash the potential of every team in their organisations. Our best-in-class collaboration tools – including Jira, Confluence, Trello, Loom, and Rovo – help cross-functional teams come together and deliver quality results on time. We’re continuing to innovate across our products as we speed up our evolution into a world-class enterprise company."
Uber," Great colleagues, strong data-driven decision-making, good benefits, flexible hours, and welcoming culture. "," Low pay, long working hours, poor work-life balance, bad management, and limited growth opportunities for contractors.","Uber’s mission is to reimagine the way the world moves for the better. We started in 2010 to solve a simple problem: how do you get access to a ride at the touch of a button? More than 42 billion trips later, we’re building products to get people closer to where they want to be. By changing how people, food, and things move through cities, Uber is a platform that opens up the world to new possibilities."," Great colleagues, strong data-driven decision-making, good benefits, flexible hours, and welcoming culture.   Low pay, long working hours, poor work-life balance, bad management, and limited growth opportunities for contractors. Uber’s mission is to reimagine the way the world moves for the better. We started in 2010 to solve a simple problem: how do you get access to a ride at the touch of a button? More than 42 billion trips later, we’re building products to get people closer to where they want to be. By changing how people, food, and things move through cities, Uber is a platform that opens up the world to new possibilities."
Salesforce," Excellent benefits, strong company culture, great colleagues, good work-life balance, and competitive pay. "," Poor management, internal departmental issues, frequent layoffs, long hours, and bloated upper management.","We’re Salesforce, the Customer Company.
You could say we've always been the customer company.

From the day we opened our doors, focus on our customers drove our every decision. It fueled our growth and powered our customers' success. We develop the technology, the partnerships, and the communities that help companies connect with customers. So that every company can become a customer company."," Excellent benefits, strong company culture, great colleagues, good work-life balance, and competitive pay.   Poor management, internal departmental issues, frequent layoffs, long hours, and bloated upper management. We’re Salesforce, the Customer Company.
You could say we've always been the customer company.

From the day we opened our doors, focus on our customers drove our every decision. It fueled our growth and powered our customers' success. We develop the technology, the partnerships, and the communities that help companies connect with customers. So that every company can become a customer company."
PayPal," Good work-life balance, strong benefits, supportive colleagues, positive company culture, and good pay with expenses covered. "," Poor management, frequent layoffs and restructuring, weak leadership, lack of job security, and slow company growth.","We are revolutionizing commerce globally to make moving money, selling and shopping simple, personalized and secure. We’re driven by this purpose and support employees by valuing inclusion, innovation, collaboration, and wellness, so they can ensure that every person can participate in the global economy. 
  
Headquartered in San Jose, CA, we have approximately 10,000 employees in North America, and each one is empowered to innovate constantly and to compete fiercely. If you're ready to take up our global challenge, bring your passion, experience, and vision to the team at PayPal. We are proud to work here. You will be, too. 
"," Good work-life balance, strong benefits, supportive colleagues, positive company culture, and good pay with expenses covered.   Poor management, frequent layoffs and restructuring, weak leadership, lack of job security, and slow company growth. We are revolutionizing commerce globally to make moving money, selling and shopping simple, personalized and secure. We’re driven by this purpose and support employees by valuing inclusion, innovation, collaboration, and wellness, so they can ensure that every person can participate in the global economy. 
  
Headquartered in San Jose, CA, we have approximately 10,000 employees in North America, and each one is empowered to innovate constantly and to compete fiercely. If you're ready to take up our global challenge, bring your passion, experience, and vision to the team at PayPal. We are proud to work here. You will be, too. 
"
X," Great colleagues, meaningful work, strong culture and purpose, excellent benefits, good work-life balance, and competitive pay. "," Poor leadership, lack of direction, overwork, inexperienced managers, poor layoff communication, and long hours.","Twitter serves the public conversation because conversation is a force for good in the world. The opportunity to help the world connect, debate, learn, and solve problems is what draws us to careers at Twitter, and it’s what keeps us here. 

What we offer: 

Small but mighty teams who serve the public conversation in ways people feel across the world, every day; a flat, non-hierarchical org structure; the freedom to design your own path; space to innovate and make big contributions to Twitter’s future; respect and support of your identity and background, whatever it is; actual work-life balance, including growing opportunities for remote work and flex schedules (depending on the role). 

What we ask for: 

Vision, creativity, flexibility, honesty, and enthusiasm. 

Visit careers.twitter.com to see open roles and find out how you can #JoinTheFlock. Follow us at @TwitterCareers to learn more about growing your career at Twitter. 

#LoveWhereYouWork, wherever you work. Twitter has offices in: 

U.S.: Atlanta, Boston, Boulder, Chicago, Cincinnati, Detroit, Los Angeles, Miami, New York, San Francisco (Headquarters), Seattle, Sunnyvale, Washington. D.C. 

International: Bangalore, Berlin, Bogota, Brussels, Cologne, Dubai, Dublin, Hamburg, Hong Kong, Jakarta, London, Madrid, Melbourne, Mexico City, Milan, Mumbai, New Delhi, Osaka, Paris, Rio de Janeiro, São Paulo, Singapore, Sydney, Seoul, Tokyo, Toronto, Vancouver"," Great colleagues, meaningful work, strong culture and purpose, excellent benefits, good work-life balance, and competitive pay.   Poor leadership, lack of direction, overwork, inexperienced managers, poor layoff communication, and long hours. Twitter serves the public conversation because conversation is a force for good in the world. The opportunity to help the world connect, debate, learn, and solve problems is what draws us to careers at Twitter, and it’s what keeps us here. 

What we offer: 

Small but mighty teams who serve the public conversation in ways people feel across the world, every day; a flat, non-hierarchical org structure; the freedom to design your own path; space to innovate and make big contributions to Twitter’s future; respect and support of your identity and background, whatever it is; actual work-life balance, including growing opportunities for remote work and flex schedules (depending on the role). 

What we ask for: 

Vision, creativity, flexibility, honesty, and enthusiasm. 

Visit careers.twitter.com to see open roles and find out how you can #JoinTheFlock. Follow us at @TwitterCareers to learn more about growing your career at Twitter. 

#LoveWhereYouWork, wherever you work. Twitter has offices in: 

U.S.: Atlanta, Boston, Boulder, Chicago, Cincinnati, Detroit, Los Angeles, Miami, New York, San Francisco (Headquarters), Seattle, Sunnyvale, Washington. D.C. 

International: Bangalore, Berlin, Bogota, Brussels, Cologne, Dubai, Dublin, Hamburg, Hong Kong, Jakarta, London, Madrid, Melbourne, Mexico City, Milan, Mumbai, New Delhi, Osaka, Paris, Rio de Janeiro, São Paulo, Singapore, Sydney, Seoul, Tokyo, Toronto, Vancouver"
X," Great colleagues, meaningful work, strong culture and purpose, excellent benefits, good work-life balance, and competitive pay. "," Poor leadership, lack of direction, overwork, inexperienced managers, poor layoff communication, and long hours.","Twitter serves the public conversation because conversation is a force for good in the world. The opportunity to help the world connect, debate, learn, and solve problems is what draws us to careers at Twitter, and it’s what keeps us here. 

What we offer: 

Small but mighty teams who serve the public conversation in ways people feel across the world, every day; a flat, non-hierarchical org structure; the freedom to design your own path; space to innovate and make big contributions to Twitter’s future; respect and support of your identity and background, whatever it is; actual work-life balance, including growing opportunities for remote work and flex schedules (depending on the role). 

What we ask for: 

Vision, creativity, flexibility, honesty, and enthusiasm. 

Visit careers.twitter.com to see open roles and find out how you can #JoinTheFlock. Follow us at @TwitterCareers to learn more about growing your career at Twitter. 

#LoveWhereYouWork, wherever you work. Twitter has offices in: 

U.S.: Atlanta, Boston, Boulder, Chicago, Cincinnati, Detroit, Los Angeles, Miami, New York, San Francisco (Headquarters), Seattle, Sunnyvale, Washington. D.C. 

International: Bangalore, Berlin, Bogota, Brussels, Cologne, Dubai, Dublin, Hamburg, Hong Kong, Jakarta, London, Madrid, Melbourne, Mexico City, Milan, Mumbai, New Delhi, Osaka, Paris, Rio de Janeiro, São Paulo, Singapore, Sydney, Seoul, Tokyo, Toronto, Vancouver"," Great colleagues, meaningful work, strong culture and purpose, excellent benefits, good work-life balance, and competitive pay.   Poor leadership, lack of direction, overwork, inexperienced managers, poor layoff communication, and long hours. Twitter serves the public conversation because conversation is a force for good in the world. The opportunity to help the world connect, debate, learn, and solve problems is what draws us to careers at Twitter, and it’s what keeps us here. 

What we offer: 

Small but mighty teams who serve the public conversation in ways people feel across the world, every day; a flat, non-hierarchical org structure; the freedom to design your own path; space to innovate and make big contributions to Twitter’s future; respect and support of your identity and background, whatever it is; actual work-life balance, including growing opportunities for remote work and flex schedules (depending on the role). 

What we ask for: 

Vision, creativity, flexibility, honesty, and enthusiasm. 

Visit careers.twitter.com to see open roles and find out how you can #JoinTheFlock. Follow us at @TwitterCareers to learn more about growing your career at Twitter. 

#LoveWhereYouWork, wherever you work. Twitter has offices in: 

U.S.: Atlanta, Boston, Boulder, Chicago, Cincinnati, Detroit, Los Angeles, Miami, New York, San Francisco (Headquarters), Seattle, Sunnyvale, Washington. D.C. 

International: Bangalore, Berlin, Bogota, Brussels, Cologne, Dubai, Dublin, Hamburg, Hong Kong, Jakarta, London, Madrid, Melbourne, Mexico City, Milan, Mumbai, New Delhi, Osaka, Paris, Rio de Janeiro, São Paulo, Singapore, Sydney, Seoul, Tokyo, Toronto, Vancouver"
Netflix," Good pay, excellent benefits, great colleagues, strong company culture, and competitive salary. "," Poor management, long hours, demanding work, lack of work-life balance, and no job security.","Netflix is one of the world's leading entertainment services with 270 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time."," Good pay, excellent benefits, great colleagues, strong company culture, and competitive salary.   Poor management, long hours, demanding work, lack of work-life balance, and no job security. Netflix is one of the world's leading entertainment services with 270 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time."
Tesla," Great benefits, exciting opportunities, good pay, strong teamwork, and innovative technology. "," No work-life balance, long hours, demanding workload, low pay relative to expectations, and poor management.","Our mission is to accelerate the world’s transition to sustainable energy. With global temperatures rising, the faster we free ourselves from fossil fuel reliance and achieve a zero-emission future, the better.  

In pursuit of this mission, we strive to make electric vehicles that are not just great EVs, but the best cars, period. We also produce and install infinitely scalable clean energy generation and storage products that help our customers further decrease their environmental impact. When it comes to achieving our goals, we pride ourselves in accomplishing what others deem impossible. 

We are opening new factories and increasing our output everyday – join us in building a sustainable future. 

tesla.com/careers"," Great benefits, exciting opportunities, good pay, strong teamwork, and innovative technology.   No work-life balance, long hours, demanding workload, low pay relative to expectations, and poor management. Our mission is to accelerate the world’s transition to sustainable energy. With global temperatures rising, the faster we free ourselves from fossil fuel reliance and achieve a zero-emission future, the better.  

In pursuit of this mission, we strive to make electric vehicles that are not just great EVs, but the best cars, period. We also produce and install infinitely scalable clean energy generation and storage products that help our customers further decrease their environmental impact. When it comes to achieving our goals, we pride ourselves in accomplishing what others deem impossible. 

We are opening new factories and increasing our output everyday – join us in building a sustainable future. 

tesla.com/careers"
